participant,condition,object,trial_num,fragile_survived,peak_force_proxy,peak_depth_mm,time_to_first_contact_s,force_overshoot_proxy,approach_rate_mm_s,n_force_reversals_post_plateau,time_above_90pct_peak_s
P07,lra,deformable,2,,8686.0137,0.7793,6.6909,941.2143999999998,0.4162699822380107,14.0,1.1988000000000003
P07,lra,deformable,3,,12837.1504,0.8547,1.3539,836.4629000000004,2.752094972067039,7.0,1.0564999999999998
P07,lra,deformable,4,,12891.5762,0.8547,1.4205,1503.1034999999993,1.2768211920529802,17.0,1.4565000000000001
P07,lra,deformable,5,,11850.374,0.8493,2.1501,581.6600999999991,1.2804693414080242,48.0,4.752199999999999
P07,lra,fragile,1,1.0,30094.875,0.9842,3.2109,10776.654299999998,2.017445917655269,1.0,0.4643999999999999
P07,lra,fragile,2,1.0,28074.6543,0.9842,1.4192,1246.7362999999968,3.016146788990826,25.0,2.7350000000000003
P07,lra,fragile,3,1.0,12105.2881,0.8843,3.418,0.0,0.7308035714285717,18.0,1.6801000000000004
P07,lra,fragile,4,0.0,35402.5703,0.9842,1.7,8461.25,1.1510277033065217,7.0,0.12899999999999978
P07,lra,fragile,5,1.0,32882.4844,0.9842,3.0904,1572.5391000000018,2.2016546018614265,7.0,0.9425000000000003
P07,tactiles,deformable,1,,3523.0266,0.4441,5.2277,0.0,0.38565022421524664,2.0,0.07980000000000054
P07,tactiles,deformable,2,,1069.469,0.7618,2.5497,0.0,0.2346660608814175,6.0,0.43239999999999945
P07,tactiles,deformable,3,,1465.605,0.7954,2.3768,54.6717000000001,2.223482699943274,29.0,0.1278999999999999
P07,tactiles,deformable,4,,1425.7446,0.8217,2.209,220.10040000000004,1.761950286806883,29.0,3.2640999999999996
P07,tactiles,deformable,5,,1329.5002,0.8008,2.4859,59.2521999999999,1.9070796460177,29.0,3.4726000000000004
P07,tactiles,fragile,1,0.0,20456.5371,0.9842,7.4954,13842.1074,3.390015600624034,9.0,0.20800000000000018
P07,tactiles,fragile,2,0.0,27127.3809,0.9842,6.0829,1426.6542999999983,1.1186440677966114,1.0,0.15950000000000042
